date_time,date_time,date_time,pm2.5_nova,pm10_nova
23,21,30,15.2565217391,23.1413043478
23,21,31,14.9391304348,22.6608695652
23,21,32,15.4717391304,24.2369565217
23,21,33,15.3369565217,23.3217391304
23,21,34,15.3434782609,23.0934782609
23,21,35,15.4260869565,23.5086956522
23,21,36,15.8933333333,25.5288888889
23,21,37,15.5173913043,24.6173913043
23,21,38,15.2695652174,22.1456521739
23,21,39,15.1543478261,22.5913043478
23,21,40,15.1934782609,22.9152173913
23,21,41,15.3173913043,22.1391304348
23,21,42,15.5804347826,22.7065217391
23,21,43,15.0217391304,21.1760869565
23,21,44,15.1133333333,22.8866666667
23,21,45,15.5282608696,23.8434782609
23,21,46,15.0304347826,22.3086956522
23,21,47,15.2630434783,22.1456521739
23,21,48,15.1956521739,22.4326086957
23,21,49,14.9652173913,21.1130434783
23,21,50,15.3869565217,23.2630434783
23,21,51,15.1652173913,22.597826087
23,21,52,15.4543478261,23.3826086957
23,21,53,15.1622222222,23.72
23,21,54,15.2826086957,22.5304347826
23,21,55,15.6782608696,22.7630434783
23,21,56,15.252173913,21.4934782609
23,21,57,14.9739130435,21.2673913043
23,21,58,15.5391304348,22.8173913043
23,21,59,15.4586956522,20.9152173913
23,22,0,14.6413043478,20.7782608696
23,22,1,15.5244444444,23.7466666667
23,22,2,15.552173913,22.6282608696
23,22,3,15.2695652174,21.8130434783
23,22,4,16.0869565217,24.0326086957
23,22,5,15.6934782609,23.9
23,22,6,15.8891304348,24.0434782609
23,22,7,15.3282608696,20.7826086957
23,22,8,15.3826086957,21.6130434783
23,22,9,15.4377777778,20.8488888889
23,22,10,15.9260869565,24.0760869565
23,22,11,15.1434782609,21.2869565217
23,22,12,15.65,22.347826087
23,22,13,15.2565217391,22.1847826087
23,22,14,14.7130434783,20.8565217391
23,22,15,14.85,22.1173913043
23,22,16,14.702173913,22.047826087
23,22,17,14.7488888889,22.5866666667
23,22,18,15.1043478261,22.8760869565
23,22,19,14.8217391304,20.3934782609
23,22,20,15.2195652174,21.8239130435
23,22,21,15.6347826087,22.1717391304
23,22,22,15.9108695652,23.5847826087
23,22,23,15.2717391304,22.2717391304
23,22,24,14.6826086957,20.1108695652
23,22,25,15.1173913043,21.2630434783
23,22,26,16.1288888889,23.1977777778
23,22,27,15.2869565217,22.3869565217
23,22,28,15.0956521739,20.85
23,22,29,15.5630434783,21.5630434783
23,22,30,15.5739130435,22.7586956522
23,22,31,16.0804347826,23.3804347826
23,22,32,15.5282608696,23.0543478261
23,22,33,16.0826086957,24.6065217391
23,22,34,16.2177777778,24.0844444444
23,22,35,15.9673913043,25.6130434783
23,22,36,15.9630434783,23.7434782609
23,22,37,15.9282608696,25.2739130435
23,22,38,15.8695652174,23.7608695652
23,22,39,15.6304347826,22.3891304348
23,22,40,15.6847826087,23.6108695652
23,22,41,16.4869565217,24.75
23,22,42,16.0288888889,24.7888888889
23,22,43,15.6543478261,23.9195652174
23,22,44,16.4130434783,25.3347826087
23,22,45,16.0239130435,24.5847826087
23,22,46,15.2326086957,23.1086956522
23,22,47,15.4173913043,23.1891304348
23,22,48,15.2347826087,20.852173913
23,22,49,16.1347826087,23.6891304348
23,22,50,15.7173913043,23.4717391304
23,22,51,15.1888888889,22.12
23,22,52,15.7913043478,24.3347826087
23,22,53,15.7956521739,23.9913043478
23,22,54,15.7956521739,23.8565217391
23,22,55,15.6652173913,22.6217391304
23,22,56,15.9847826087,24.1326086957
23,22,57,15.797826087,22.7891304348
23,22,58,15.8369565217,23.8130434783
23,22,59,15.9511111111,24.7488888889
23,23,0,15.7173913043,23.8413043478
23,23,1,15.7847826087,23.6217391304
23,23,2,15.5347826087,23.4391304348
23,23,3,15.7782608696,21.8891304348
23,23,4,15.7956521739,24.1586956522
23,23,5,16.2347826087,24.3826086957
23,23,6,15.8586956522,24.4195652174
23,23,7,15.5244444444,21.8088888889
23,23,8,15.6043478261,22.7695652174
23,23,9,15.1913043478,21.852173913
23,23,10,15.9152173913,24.497826087
23,23,11,15.6347826087,23.35
23,23,12,15.4673913043,21.8369565217
23,23,13,15.897826087,23.7347826087
23,23,14,15.7391304348,22.5304347826
23,23,15,15.55,22.6739130435
23,23,16,15.9355555556,23.4244444444
23,23,17,16.0108695652,22.9108695652
23,23,18,15.4282608696,22.0195652174
23,23,19,15.9043478261,24.2782608696
23,23,20,15.252173913,21.4413043478
23,23,21,15.8434782609,23.1456521739
23,23,22,15.7260869565,23.3130434783
23,23,23,15.3152173913,21.6456521739
23,23,24,15.6333333333,23.6666666667
23,23,25,15.3434782609,22.9956521739
23,23,26,15.1173913043,22.7304347826
23,23,27,15.7326086957,23.3826086957
23,23,28,15.4934782609,23.4369565217
23,23,29,15.4673913043,23.2304347826
23,23,30,15.4413043478,22.3260869565
23,23,31,16.0304347826,23.4847826087
23,23,32,15.7043478261,23.3369565217
23,23,33,15.8888888889,25.78
23,23,34,15.247826087,22.9413043478
23,23,35,15.3586956522,22.3760869565
23,23,36,15.5565217391,23.6326086957
23,23,37,15.5086956522,22.3543478261
23,23,38,15.5956521739,22.152173913
23,23,39,15.9152173913,24.297826087
23,23,40,15.897826087,25.5891304348
23,23,41,15.4488888889,21.8377777778
23,23,42,15.4347826087,22.2130434783
23,23,43,15.7847826087,24.1369565217
23,23,44,15.6369565217,22.1239130435
23,23,45,15.9934782609,23.4934782609
23,23,46,15.7369565217,22.0369565217
23,23,47,15.5065217391,23.0586956522
23,23,48,15.7891304348,25.2804347826
23,23,49,15.9956521739,23.8152173913
23,23,50,15.9644444444,23.1688888889
23,23,51,15.5391304348,22.5695652174
23,23,52,16.1326086957,24.4760869565
23,23,53,15.3391304348,22.1630434783
23,23,54,15.5173913043,22.3065217391
23,23,55,15.602173913,24.4630434783
23,23,56,15.8543478261,22.3608695652
23,23,57,15.6891304348,23.3130434783
23,23,58,14.9844444444,21.22
23,23,59,15.5630434783,21.7152173913
24,0,0,16.0108695652,23.7043478261
24,0,1,15.6826086957,22.9239130435
24,0,2,15.6326086957,23.7108695652
24,0,3,14.952173913,21.5804347826
24,0,4,15.1260869565,21.6804347826
