date,PM10,PM2.5,PM1
5/23/2019 7:33:43 PM,48.1,20.7,14.2
5/23/2019 7:33:49 PM,38.9,21.1,14.7
5/23/2019 7:33:55 PM,70.4,18.2,14.2
5/23/2019 7:34:01 PM,55.7,19.4,14.2
5/23/2019 7:34:07 PM,40.7,19.6,14.2
5/23/2019 7:34:13 PM,47.4,18.5,14.1
5/23/2019 7:34:19 PM,37.9,21,14.8
5/23/2019 7:34:25 PM,51.6,19.8,15.1
5/23/2019 7:34:31 PM,49.3,18.9,14.5
5/23/2019 7:34:37 PM,33.3,17.5,13.5
5/23/2019 7:34:43 PM,35.4,19.1,14.5
5/23/2019 7:34:49 PM,60.1,20.8,14.2
5/23/2019 7:34:55 PM,53.6,19.5,14
5/23/2019 7:35:01 PM,57.5,20,13.8
5/23/2019 7:35:07 PM,40,18.3,14.3
5/23/2019 7:35:13 PM,53.7,18.8,14.2
5/23/2019 7:35:19 PM,47,20,14.2
5/23/2019 7:35:25 PM,43,19.5,14.4
5/23/2019 7:35:31 PM,39,20.1,14.2
5/23/2019 7:35:37 PM,35.5,22.2,14.1
5/23/2019 7:35:43 PM,38.7,18.9,13.7
5/23/2019 7:35:49 PM,55.3,20.4,14.2
5/23/2019 7:35:55 PM,47.8,19.3,13.4
5/23/2019 7:36:01 PM,47.8,21,13.8
5/23/2019 7:36:07 PM,31.3,20.1,14
5/23/2019 7:36:13 PM,32.7,18.7,14
5/23/2019 7:36:19 PM,33.8,19.5,13.6
5/23/2019 7:36:25 PM,73,18.2,13.8
5/23/2019 7:36:31 PM,112.5,18.2,14.1
5/23/2019 7:36:37 PM,58.2,19.7,13.5
5/23/2019 7:36:43 PM,51.1,19.5,13.8
5/23/2019 7:36:49 PM,32.5,19.2,13.1
5/23/2019 7:36:55 PM,30.7,20.6,13.7
5/23/2019 7:37:01 PM,52.3,18.8,13.1
5/23/2019 7:37:07 PM,41.4,18.9,13.2
5/23/2019 7:37:13 PM,45.7,16.4,13
5/23/2019 7:37:19 PM,45,19.5,13.5
5/23/2019 7:37:25 PM,49.7,19.4,13.4
5/23/2019 7:37:31 PM,49.7,19.7,13.9
5/23/2019 7:37:37 PM,46.2,22.9,13.8
5/23/2019 7:37:43 PM,62.7,19.4,13.8
5/23/2019 7:37:49 PM,42.3,19.2,13.9
5/23/2019 7:37:55 PM,46.4,18.7,14.3
5/23/2019 7:38:01 PM,24.7,17.9,13.8
5/23/2019 7:38:07 PM,67.8,17.7,13.4
5/23/2019 7:38:13 PM,36.7,18.2,13.5
